Player,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player
Chris Richard,C,chris-richard,2007,-1.137437383,0.000914445,0.051526787000000004,0.395376057
Justin Cage,SF,justin-cage,2007,-1.141748891,0.000157846,0.042355280999999995,0.41184179200000004
Nick Fazekas,PF,nick-fazekas,2007,-1.142440065,0.0,0.055473133,0.378605491
Russell Carter,SG,russell-carter,,-1.146738625,0.0006831710000000001,0.035898946,0.454586197
Larry Blair,PG,larry-blair,2007,-1.173959325,0.0,0.025654447,0.41797305
Dashaun Wood,PG,dashaun-wood,2007,-1.18766108,0.0005360569999999999,0.04801094,0.357982541
Kyle Visser,C,kyle-visser,2007,-1.192887647,0.002247541,0.06275572,0.318028969
Demetris Nichols,SF,demetris-nichols,2007,-1.193795757,0.000357952,0.037778369,0.380294105
Morris Almond,SG,morris-almond,2007,-1.200478712,0.002363498,0.029448476,0.385681847
Adam Haluska,SG,adam-haluska,2007,-1.20706148,0.0,0.022658589,0.40247889
Derrick Byars,SF,derrick-byars,2007,-1.221014622,0.0,0.036271297,0.377515503
Terrence Roberts,PF,terrence-roberts,2007,-1.233405112,0.000174937,0.014956938999999999,0.387399768
Curtis Sumpter,SF,curtis-sumpter,2007,-1.253315231,0.0,0.022962755,0.373655826
Acie Law IV,PG,acie-law-iv,2007,-1.270554708,0.000223877,0.054207711,0.309945261
James Hughes,C,james-hughes,2007,-1.274591698,0.0,0.015792051,0.368221146
Darryl Watkins,C,darryl-watkins,2007,-1.290061988,0.0,0.024029775,0.36200974
Ian Vouyoukas,C,ian-vouyoukas,2007,-1.2920373729999999,0.0,0.01920418,0.346150794
Coby Karl,SG,coby-karl,2007,-1.293094473,0.0,0.022468615,0.354340352
Moe Harkless,SF,maurice-harkless,2012,-0.310236312,0.012416667,0.26805,0.346683333
Perry Jones III,PF,perry-jones-iii,2012,-0.362200805,0.003381931,0.25658298,0.375624695
Quincy Miller,SF,quincy-miller,2012,-0.36786030700000005,0.0082,0.23226666699999998,0.3737
Terrence Ross,SG,terrence-ross,2012,-0.393773751,0.018984716999999998,0.21497628600000002,0.348887871
Jared Cunningham,SG,2-jared-cunningham,2012,-0.44139395200000003,0.012164518000000001,0.193810652,0.38509138
Meyers Leonard,C,meyers-leonard,2012,-0.49300456200000004,0.001882547,0.222535097,0.35314568700000004
John Jenkins,SG,2-john-jenkins,2012,-0.541753731,0.004348225,0.153131284,0.428610228
Kendall Marshall,PG,kendall-marshall,2012,-0.545690813,0.001415434,0.208683597,0.33463658
Draymond Green,SF,draymond-green,2012,-0.556659557,0.0024765489999999998,0.169968738,0.421028206
Hollis Thompson,SF,hollis-thompson,2012,-0.5670391579999999,0.003435273,0.17262017,0.380718606
Jae Crowder,SF,jae-crowder,2012,-0.595557739,0.001250205,0.18452771699999998,0.38779319100000004
Khris Middleton,SF,khris-middleton,2012,-0.693277282,0.005368606,0.149152826,0.362379085
Ashton Gibbs,PG,ashton-gibbs,2012,-0.7126223490000001,0.0010042010000000001,0.135719853,0.42172062899999996
Miles Plumlee,PF,miles-plumlee,2012,-0.7234322,0.000378714,0.154787755,0.39365738
Kevin Jones,PF,6-kevin-jones,2012,-0.7423057359999999,0.00019141099999999997,0.14061901599999999,0.408054249
William Buford,SG,william-buford,2012,-0.7479396970000001,0.000889484,0.137565563,0.420014027
Darius Miller,SF,darius-miller,2012,-0.7624414290000001,0.000140748,0.118434526,0.441771763
Gerardo Suero,SG,gerardo-suero,2012,-0.804573475,0.002333333,0.040344444,0.543869841
Arnett Moultrie,PF,arnett-moultrie,2012,-0.836069017,0.001951945,0.14241347,0.347440917
Zach Rosen,PG,zack-rosen,2012,-0.881118585,0.001333333,0.058144395999999994,0.48396563
Robbie Hummel,SF,robbie-hummel,2012,-0.8860291220000001,0.000576045,0.109472592,0.379726758
Tyler Zeller,C,tyler-zeller,2012,-0.886482478,0.000952833,0.139317726,0.36551056200000004
Jordan Taylor,PG,jordan-taylor,2012,-0.888591315,0.000452506,0.11393553599999999,0.389875223
Tyshawn Taylor,PG,tyshawn-taylor,2012,-0.9066439070000001,0.000579555,0.102159316,0.400538469
Marcus Denmon,SG,marcus-denmon,2012,-0.91208632,0.000738739,0.08560240599999999,0.417502474
Ricardo Ratliffe,PF,ricardo-ratliffe,2012,-0.913073927,0.000263163,0.083116646,0.425384954
John Shurna,SF,john-shurna,2012,-0.923881437,0.0,0.058873497000000004,0.46678446799999995
Kim English,SG,kim-english,2012,-0.9321289540000001,0.00111017,0.093542425,0.407447096
Terrell Stoglin,SG,terrell-stoglin,2012,-0.9330101959999999,0.002411604,0.096088414,0.362764359
Fabricio Melo,C,fab-melo,2012,-0.935186244,0.000119301,0.099063901,0.420306829
Will Barton,SG,will-barton,2012,-0.9357758840000001,0.0,0.094512734,0.402634841
Scott Machado,PG,scott-machado,2012,-0.959476413,0.001693333,0.071913479,0.403173551
Chris Johnson,SG,11-chris-johnson,2012,-1.0178643520000001,0.00045626,0.068691479,0.400349226
Charlie Westbrook,SG,charlie-westbrook,2012,-1.0369043759999998,0.0,0.044506616,0.446405299
